Id,Time,RPM_SET_POINT,PowerCenter_RPM,HP_ACC_Press_PT18_Bar,Desalination_Press_PT20_Bar,Brine_Out_Press_PT13_Bar,LP_ACC_Press_PT17_Bar,BMS_CURRENT_A,CT_Current_Controller_A,Roboteq_Current_A,Roboteq_Voltage_V,BMS_Voltage,BMS_SOC_percent,VHP_Manifold_Pressure_PT21,VertDisZLA1,VertDisZLA2,VertDisZLA3,theta1,theta2,theta3,LP_Cartridge_Filter_FM01_m3h,FW_OUT_FM02_m3h,BRINE_OUT_FM03_m3h,PowerCenter_Out_FM04_m3h,PowerCenter_In_FM05_m3h,FW_TK_PT14_bar,Booster_Suction_PT15_bar,Booster_Discharge_PT16_bar,PowerCenter_Out_PT19_bar,ROT1_deg,ROT2_deg,ROT3_deg,MRU_Surge_m,MRU_Sway_m,MRU_Heave_m,MRU_Yaw_deg2,MRU_Pitch_deg,MRU_Roll_deg
1,19/04/2024 7:47:00,0,,0,0,1.00875,6.080625,0,2.962524,,,0,0,5.125,79.98159,0,26.07731,0.004733468,-0.02539484,0.02066137,0,0,0.00495,0.0075,-0.0165,-20.47875,1.03,1.0825,0.03125,84.94875,70.27312,76.88813,-0.1116288,-0.01504358,0.02608081,18.74794,-88.35925,-171.2446
2,19/04/2024 7:47:02,0,,0,0,1.00125,6.080625,0,-1.724976,,,0,0,5.125,79.98159,0,26.07731,0.005308042,-0.02539484,0.02128162,0,0.0044,0,0.0075,-0.0165,-20.47875,1.021875,1.090625,0,84.94875,70.27312,76.88813,-0.1577948,0.03964484,0.05872892,18.68431,-88.31802,-171.9833
3,19/04/2024 7:47:03,0,,0,0,1.00875,6.080625,0,3.412506,,,0,0,5.125,79.98159,0,26.07731,0.004733468,-0.02539484,0.02066137,0,0.0044,0,0.0075,-0.0165,-20.47875,1.021875,1.090625,0.03125,84.94875,70.27312,76.88813,-0.1387501,0.05576065,0.120429,22.39859,-88.45837,-176.4487
4,19/04/2024 7:47:05,0,,0,0,1.00125,6.08875,0,1.087524,,,0,0,5.125,83.10778,0,26.07731,0.004733468,-0.02539484,0.02066137,0,0.0044,0,0.0075,-0.018,-20.47875,1.021875,1.090625,0.03125,84.94875,70.27312,76.88813,-0.1795327,0.07738613,0.08322073,23.03473,-88.05989,-177.9612
5,19/04/2024 7:47:06,0,,0,0,1.00125,6.080625,0,-1.724976,,,0,0,5.125,79.98159,0,26.07731,0.004733468,-0.02539484,0.02066137,0,0.0044,0,0.0075,-0.0165,-20.47875,1.021875,1.090625,0,84.88126,70.27312,76.88813,-0.1801701,0.07520907,0.0329851,24.19887,-87.84476,-179.8588
6,19/04/2024 7:47:08,0,,0,0,0.993125,6.080625,0,-0.3374939,,,0,0,5.125,83.10778,0,26.07731,0.005308042,-0.02539484,0.02066137,0,0.0044,0,0.0075,-0.0165,-20.47875,1.03,1.090625,0,84.88126,70.27312,76.88813,-0.2260708,0.07892883,0.08503252,24.12771,-87.45937,179.2468
7,19/04/2024 7:47:09,0,,0,0,1.00875,6.08875,0,1.087524,,,0,0,5.125,79.98159,0,26.07731,0.005308042,-0.02539484,0.02066137,0,0.0044,0.00495,0.0075,-0.0165,-20.47875,1.021875,1.090625,0.03125,84.88126,70.27312,76.88813,-0.2754201,0.1082938,0.01944127,20.38705,-87.20263,-177.7839
8,19/04/2024 7:47:11,0,,0,0,1.00875,6.080625,0,2.962524,,,0,0,5.125,83.10778,0,26.07731,0.004733468,-0.02539484,0.02066137,0,0,0,0.0075,-0.0165,-20.47875,1.03,1.090625,0.03125,84.88126,70.20563,76.88813,-0.3116326,0.1307686,0.008262759,19.08765,-87.18526,-177.0642
9,19/04/2024 7:47:12,0,,0.0625,0,1.00875,6.08875,0,2.025024,,,0,0,5.125,79.98159,0,26.07731,0.005308042,-0.02539484,0.02128162,0,0.0044,0,0.0075,-0.0165,-20.47875,1.021875,1.090625,0,84.94875,70.20563,76.88813,-0.3390876,0.175933,-0.02608078,15.06228,-87.3158,-173.7941
10,19/04/2024 7:47:14,0,,0,0,1.016875,6.08875,0,-0.3374939,,,0,0,5.125,79.98159,0,26.07731,0.004733468,-0.02539484,0.02128162,0,0,0,0.0075,-0.0165,-20.47875,1.021875,1.090625,0,84.94875,70.27312,76.88813,-0.3710362,0.2005671,-0.04483396,12.84933,-87.43468,-172.1209
